epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.483,0.75955,2.33559,1.1224,0.4064,0.43777,0.38683,0.25934,0.96106,2.76461,1.41284,0.000544553,0.000544553,0.000544553
2,259.217,0.81538,1.92037,1.10543,0.27872,0.449,0.29462,0.15779,1.26988,3.01166,1.55209,0.00107844,0.00107844,0.00107844
3,393.238,0.88178,1.78866,1.15669,0.42304,0.69257,0.58302,0.37582,1.15879,2.81246,1.41931,0.00159031,0.00159031,0.00159031
4,531.846,0.96108,1.81072,1.2135,0.38214,0.46906,0.47497,0.27676,1.20246,3.86349,1.58356,0.00156798,0.00156798,0.00156798
5,673.375,0.95924,1.74805,1.2026,0.27515,0.63051,0.4345,0.25876,1.16745,3.29063,1.53798,0.00153497,0.00153497,0.00153497
6,816.774,0.93498,1.6305,1.18052,0.48881,0.68172,0.56929,0.35802,0.90754,1.9187,1.25404,0.00150197,0.00150197,0.00150197
7,959.202,0.83544,1.4554,1.10953,0.62382,0.62022,0.61413,0.441,1.09585,1.87169,1.33685,0.00146896,0.00146896,0.00146896
8,1100.92,0.87614,1.46487,1.13095,0.61663,0.67664,0.69377,0.49338,0.8526,1.98577,1.23796,0.00143595,0.00143595,0.00143595
9,1242.19,0.79977,1.40646,1.1184,0.59671,0.49609,0.60936,0.45423,0.91603,1.85281,1.23236,0.00140295,0.00140295,0.00140295
10,1382.64,0.78146,1.34032,1.08993,0.54769,0.73542,0.66082,0.52983,0.90241,1.6015,1.22359,0.00136994,0.00136994,0.00136994
11,1525.32,0.80884,1.30312,1.10027,0.38854,0.68983,0.52734,0.36251,1.20221,2.18783,1.49654,0.00133693,0.00133693,0.00133693
12,1668.1,0.77366,1.28599,1.10036,0.77206,0.74768,0.81432,0.63109,0.89892,1.25586,1.23166,0.00130393,0.00130393,0.00130393
13,1810.54,0.76412,1.25253,1.07958,0.72864,0.86127,0.82601,0.64309,0.76273,1.19713,1.06047,0.00127092,0.00127092,0.00127092
14,1947.22,0.73512,1.1612,1.06694,0.70658,0.76571,0.77118,0.58559,0.74003,1.25559,1.08693,0.00123791,0.00123791,0.00123791
15,2084.74,0.70074,1.12326,1.05308,0.60902,0.81259,0.75124,0.60235,0.7816,1.36348,1.1182,0.00120491,0.00120491,0.00120491
16,2222.21,0.71648,1.16394,1.06762,0.77036,0.77276,0.82939,0.63791,0.75929,1.21495,1.07907,0.0011719,0.0011719,0.0011719
17,2360.79,0.70755,1.13579,1.04836,0.77222,0.81244,0.83725,0.64299,0.81224,1.15917,1.10729,0.00113889,0.00113889,0.00113889
18,2498.03,0.66255,1.08619,1.03349,0.81145,0.79551,0.84757,0.69667,0.87581,0.90019,1.4561,0.00110589,0.00110589,0.00110589
19,2637.08,0.6792,1.05665,1.04101,0.85795,0.78805,0.86062,0.69552,0.60208,0.98727,0.98623,0.00107288,0.00107288,0.00107288
